1,2,3
306,308,283
308,290,283
285,288,309
284,285,309
287,284,309
287,309,310
287,310,286
286,310,307
311,309,288
312,292,289
312,289,290
313,290,308
313,312,290
295,291,314
291,294,315
315,314,291
292,316,293
316,292,312
294,293,317
317,293,316
317,315,294
318,296,295
314,318,295
319,318,314
318,320,296
321,296,320
297,321,299
297,296,321
322,299,321
300,298,323
299,323,298
322,323,299
300,323,324
302,300,324
325,303,301
302,324,325
302,325,301
326,304,303
303,325,326
304,327,305
304,326,327
306,307,328
306,328,308
329,307,310
330,307,329
330,328,307
308,328,331
331,313,308
309,311,332
310,309,332
310,332,329
333,332,311
334,312,313
334,316,312
313,331,335
335,334,313
319,314,336
314,315,336
337,336,315
315,317,337
338,337,317
317,316,338
316,334,338
319,336,339
320,318,340
340,319,339
319,340,318
341,320,340
322,321,342
320,342,321
341,342,320
322,342,343
322,343,323
344,324,323
344,323,343
326,325,345
344,345,324
324,345,325
326,346,327
326,345,346
347,329,332
328,330,348
328,348,331
330,349,348
347,349,329
330,329,349
350,331,348
350,335,331
332,333,351
347,332,351
352,351,333
335,353,334
353,338,334
354,335,350
354,353,335
336,355,339
336,337,355
337,356,355
337,338,356
353,356,338
357,339,355
358,339,357
341,340,359
340,339,359
358,359,339
341,359,360
341,360,342
343,342,361
361,342,360
344,362,345
361,362,343
344,343,362
346,345,363
362,363,345
364,350,348
347,351,365
365,349,347
366,348,349
364,348,366
367,349,365
367,366,349
364,368,350
354,350,368
369,365,351
351,352,370
369,351,370
371,370,352
354,372,353
354,368,372
353,372,356
355,373,357
373,355,356
356,372,373
374,357,373
358,357,375
374,375,357
358,375,376
358,376,359
360,359,377
377,359,376
361,378,362
377,378,360
361,360,378
363,362,379
378,379,362
364,366,380
364,380,368
365,369,381
367,365,381
366,367,382
382,380,366
367,381,382
368,380,383
368,383,372
384,372,383
369,370,385
385,381,369
386,381,385
387,385,370
388,389,390
391,392,389
388,391,389
393,394,371
370,371,394
387,370,394
395,393,392
393,395,394
392,391,395
388,390,396
390,397,396
398,396,397
374,373,399
399,373,372
384,399,372
400,375,401
401,375,374
374,399,401
400,401,402
376,375,403
400,403,375
404,403,400
400,402,404
377,405,378
403,405,376
377,376,405
379,378,406
405,406,378
380,382,407
407,383,380
386,408,381
382,381,408
408,407,382
383,407,409
384,383,409
410,399,384
384,409,410
386,411,408
386,412,411
387,412,385
386,385,412
387,394,413
413,412,387
388,414,391
388,396,414
391,415,395
414,415,391
395,416,394
413,394,416
415,416,395
398,417,396
417,414,396
418,414,417
398,419,417
398,397,420
398,420,419
401,421,402
401,399,421
410,421,399
402,421,422
404,402,423
402,422,423
403,424,405
404,423,424
404,424,403
406,405,425
424,425,405
411,412,426
411,427,408
407,408,427
407,427,409
410,428,421
409,427,428
410,409,428
429,427,411
426,429,411
430,412,413
430,426,412
431,413,416
431,430,413
432,426,430
414,433,415
418,433,414
416,415,434
433,434,415
431,416,434
435,433,418
417,419,436
418,417,436
418,436,435
437,436,419
419,420,438
437,419,438
439,422,421
428,439,421
423,422,440
441,440,422
422,439,441
423,442,424
440,442,423
443,442,440
425,424,444
442,444,424
432,445,426
429,426,445
428,446,439
428,427,446
429,446,427
429,445,446
431,447,430
431,434,447
432,430,447
432,447,448
432,448,445
449,445,448
435,450,433
434,433,451
450,451,433
434,451,447
435,436,452
435,452,450
437,453,436
436,453,452
437,438,454
437,454,453
455,441,439
455,439,446
456,441,455
443,440,457
440,441,457
456,457,441
443,457,458
444,442,459
458,459,443
443,459,442
449,460,445
445,460,446
455,446,460
449,461,460
462,447,451
447,462,448
449,463,461
449,448,463
463,448,462
450,452,464
450,464,451
465,451,464
465,462,451
466,452,453
452,466,464
454,467,453
453,467,466
456,455,468
468,455,460
469,457,456
456,468,469
470,458,457
469,470,457
471,458,470
472,459,458
471,472,458
461,473,460
468,460,473
474,473,461
463,475,461
474,461,475
475,463,476
465,476,462
462,476,463
464,466,477
464,477,465
465,477,476
478,466,467
466,478,477
479,471,470
469,480,470
469,468,480
473,480,468
479,470,481
481,470,480
479,482,471
472,471,483
482,483,471
474,484,473
484,480,473
474,475,485
474,485,484
476,477,486
476,486,475
485,475,486
487,477,478
477,487,486
479,488,482
479,481,488
489,480,484
481,480,489
490,488,481
490,481,489
482,488,491
483,482,492
491,492,482
484,485,493
489,484,493
485,486,494
493,485,494
495,486,487
494,486,495
496,491,488
488,490,496
489,493,497
490,489,497
490,497,496
498,491,496
499,492,491
498,499,491
500,493,494
497,493,500
494,495,501
500,494,501
498,496,502
496,497,502
503,497,500
503,502,497
498,504,499
498,502,504
500,501,505
503,500,505
503,505,506
506,504,502
503,506,502
